glyph_name,ps_name,sort_final,sort_design,USV,bcp47tags,Feat
.notdef,.notdef,0,0,,,
.null,.null,1,1,,,
nonmarkingreturn,nonmarkingreturn,2,2,,,
space,space,3,3,0020,,
exclam,exclam,4,4,0021,,
quotedbl,quotedbl,5,5,0022,,
numbersign,numbersign,6,6,0023,,
dollar,dollar,7,7,0024,,
percent,percent,8,8,0025,,
ampersand,ampersand,9,9,0026,,
quotesingle,quotesingle,10,10,0027,,
parenleft,parenleft,11,11,0028,,
parenright,parenright,12,12,0029,,
asterisk,asterisk,13,13,002A,,
plus,plus,14,14,002B,,
comma,comma,15,16,002C,,
hyphen,hyphen,16,17,002D,,
period,period,17,18,002E,,
slash,slash,18,20,002F,,
zero,zero,19,21,0030,,
one,one,20,22,0031,,
two,two,21,23,0032,,
three,three,22,24,0033,,
four,four,23,25,0034,,
five,five,24,26,0035,,
six,six,25,27,0036,,
seven,seven,26,28,0037,,
eight,eight,27,29,0038,,
nine,nine,28,30,0039,,
colon,colon,29,31,003A,,
semicolon,semicolon,30,32,003B,,
less,less,31,33,003C,,
equal,equal,32,34,003D,,
greater,greater,33,35,003E,,
question,question,34,36,003F,,
at,at,35,38,0040,,
A,A,36,39,0041,,
B,B,37,40,0042,,
C,C,38,41,0043,,
D,D,39,42,0044,,
E,E,40,43,0045,,
F,F,41,44,0046,,
G,G,42,45,0047,,
H,H,43,46,0048,,
I,I,44,47,0049,,
J,J,45,48,004A,,
K,K,46,49,004B,,
L,L,47,50,004C,,
M,M,48,51,004D,,
N,N,49,52,004E,,
O,O,50,53,004F,,
P,P,51,54,0050,,
Q,Q,52,55,0051,,
R,R,53,56,0052,,
S,S,54,57,0053,,
T,T,55,58,0054,,
U,U,56,59,0055,,
V,V,57,60,0056,,
W,W,58,61,0057,,
X,X,59,62,0058,,
Y,Y,60,63,0059,,
Z,Z,61,64,005A,,
bracketleft,bracketleft,62,65,005B,,
backslash,backslash,63,66,005C,,
bracketright,bracketright,64,67,005D,,
asciicircum,asciicircum,65,68,005E,,
underscore,underscore,66,69,005F,,
grave,grave,67,70,0060,,
a,a,68,71,0061,,
b,b,69,72,0062,,
c,c,70,73,0063,,
d,d,71,74,0064,,
e,e,72,75,0065,,
f,f,73,76,0066,,
g,g,74,77,0067,,
h,h,75,78,0068,,
i,i,76,79,0069,,
j,j,77,80,006A,,
k,k,78,81,006B,,
l,l,79,82,006C,,
m,m,80,83,006D,,
n,n,81,84,006E,,
o,o,82,85,006F,,
p,p,83,86,0070,,
q,q,84,87,0071,,
r,r,85,88,0072,,
s,s,86,89,0073,,
t,t,87,90,0074,,
u,u,88,91,0075,,
v,v,89,92,0076,,
w,w,90,93,0077,,
x,x,91,94,0078,,
y,y,92,95,0079,,
z,z,93,96,007A,,
braceleft,braceleft,94,97,007B,,
bar,bar,95,98,007C,,
braceright,braceright,96,99,007D,,
asciitilde,asciitilde,97,100,007E,,
Adieresis,Adieresis,98,137,00C4,,
Aring,Aring,99,138,00C5,,
Ccedilla,Ccedilla,100,140,00C7,,
Eacute,Eacute,101,142,00C9,,
Ntilde,Ntilde,102,150,00D1,,
Odieresis,Odieresis,103,155,00D6,,
Udieresis,Udieresis,104,161,00DC,,
aacute,aacute,105,166,00E1,,
agrave,agrave,106,165,00E0,,
acircumflex,acircumflex,107,167,00E2,,
adieresis,adieresis,108,169,00E4,,
atilde,atilde,109,168,00E3,,
aring,aring,110,170,00E5,,
ccedilla,ccedilla,111,172,00E7,,
eacute,eacute,112,174,00E9,,
egrave,egrave,113,173,00E8,,
ecircumflex,ecircumflex,114,175,00EA,,
edieresis,edieresis,115,176,00EB,,
iacute,iacute,116,178,00ED,,
igrave,igrave,117,177,00EC,,
icircumflex,icircumflex,118,179,00EE,,
idieresis,idieresis,119,180,00EF,,
ntilde,ntilde,120,182,00F1,,
oacute,oacute,121,184,00F3,,
ograve,ograve,122,183,00F2,,
ocircumflex,ocircumflex,123,185,00F4,,
odieresis,odieresis,124,187,00F6,,
otilde,otilde,125,186,00F5,,
uacute,uacute,126,191,00FA,,
ugrave,ugrave,127,190,00F9,,
ucircumflex,ucircumflex,128,192,00FB,,
udieresis,udieresis,129,193,00FC,,
dagger,dagger,130,459,2020,,
degree,degree,131,117,00B0,,
cent,cent,132,103,00A2,,
sterling,sterling,133,104,00A3,,
section,section,134,108,00A7,,
bullet,bullet,135,461,2022,,
paragraph,paragraph,136,123,00B6,,
germandbls,germandbls,137,164,00DF,,
registered,registered,138,115,00AE,,
copyright,copyright,139,110,00A9,,
trademark,trademark,140,485,2122,,
acute,acute,141,121,00B4,,
dieresis,dieresis,142,109,00A8,,
AE,AE,143,139,00C6,,
Oslash,Oslash,144,157,00D8,,
plusminus,plusminus,145,118,00B1,,
yen,yen,146,106,00A5,,
mu,mu,147,122,00B5,,
pi,pi,148,224,03C0,,
ordfeminine,ordfeminine,149,111,00AA,,
ordmasculine,ordmasculine,150,127,00BA,,
Ohm,Omega,151,486,2126,,
ae,ae,152,171,00E6,,
oslash,oslash,153,189,00F8,,
questiondown,questiondown,154,132,00BF,,
exclamdown,exclamdown,155,102,00A1,,
logicalnot,logicalnot,156,113,00AC,,
florin,florin,157,205,0192,,
guillemotleft,guillemotleft,158,112,00AB,,
guillemotright,guillemotright,159,128,00BB,,
ellipsis,ellipsis,160,462,2026,,
nbspace,uni00A0,161,101,00A0,,
Agrave,Agrave,162,133,00C0,,
Atilde,Atilde,163,136,00C3,,
Otilde,Otilde,164,154,00D5,,
OE,OE,165,198,0152,,
oe,oe,166,199,0153,,
endash,endash,167,447,2013,,
emdash,emdash,168,448,2014,,
quotedblleft,quotedblleft,169,455,201C,,
quotedblright,quotedblright,170,456,201D,,
quoteleft,quoteleft,171,451,2018,,
quoteright,quoteright,172,452,2019,,
divide,divide,173,188,00F7,,
ydieresis,ydieresis,174,196,00FF,,
Ydieresis,Ydieresis,175,202,0178,,
fraction,fraction,176,470,2044,,
currency,currency,177,105,00A4,,
guilsinglleft,guilsinglleft,178,468,2039,,
guilsinglright,guilsinglright,179,469,203A,,
fi,uniFB01,180,495,FB01,,
fl,uniFB02,181,496,FB02,,
daggerdbl,daggerdbl,182,460,2021,,
periodcentered,periodcentered,183,124,00B7,,
quotesinglbase,quotesinglbase,184,454,201A,,
quotedblbase,quotedblbase,185,458,201E,,
perthousand,perthousand,186,467,2030,,
Acircumflex,Acircumflex,187,135,00C2,,
Ecircumflex,Ecircumflex,188,143,00CA,,
Aacute,Aacute,189,134,00C1,,
Edieresis,Edieresis,190,144,00CB,,
Egrave,Egrave,191,141,00C8,,
Iacute,Iacute,192,146,00CD,,
Icircumflex,Icircumflex,193,147,00CE,,
Idieresis,Idieresis,194,148,00CF,,
Igrave,Igrave,195,145,00CC,,
Oacute,Oacute,196,152,00D3,,
Ocircumflex,Ocircumflex,197,153,00D4,,
dottedCircle,uni25CC,198,489,25CC,,
Ograve,Ograve,199,151,00D2,,
Uacute,Uacute,200,159,00DA,,
Ucircumflex,Ucircumflex,201,160,00DB,,
Ugrave,Ugrave,202,158,00D9,,
dotlessi,dotlessi,203,197,0131,,
circumflex,circumflex,204,210,02C6,,
tilde,tilde,205,218,02DC,,
macron,macron,206,116,00AF,,
breve,breve,207,214,02D8,,
dotaccent,dotaccent,208,215,02D9,,
ring,ring,209,216,02DA,,
cedilla,cedilla,210,125,00B8,,
hungarumlaut,hungarumlaut,211,219,02DD,,
ogonek,ogonek,212,217,02DB,,
caron,caron,213,211,02C7,,
brokenbar,brokenbar,214,107,00A6,,
softhyphen,uni00AD,215,114,00AD,,
twosuperior,uni00B2,216,119,00B2,,
threesuperior,uni00B3,217,120,00B3,,
onesuperior,uni00B9,218,126,00B9,,
onequarter,onequarter,219,129,00BC,,
onehalf,onehalf,220,130,00BD,,
threequarters,threequarters,221,131,00BE,,
Eth,Eth,222,149,00D0,,
multiply,multiply,223,156,00D7,,
Yacute,Yacute,224,162,00DD,,
Thorn,Thorn,225,163,00DE,,
eth,eth,226,181,00F0,,
yacute,yacute,227,194,00FD,,
thorn,thorn,228,195,00FE,,
Scaron,Scaron,229,200,0160,,
scaron,scaron,230,201,0161,,
Zcaron,Zcaron,231,203,017D,,
zcaron,zcaron,232,204,017E,,
glottalstopsmall,uni0242,233,206,0242,,
glottalstop,uni0294,234,207,0294,,
apostrophemod,uni02BC,235,208,02BC,,
glottalstopmod,uni02C0,236,209,02C0,,
macronmod,uni02C9,237,212,02C9,,
colontriangularmod,uni02D0,238,213,02D0,,
dotabovecomb,uni0307,239,220,0307,,
dieresiscomb,uni0308,240,221,0308,,
cgj,uni034F,241,222,034F,,
Omega,uni03A9,242,223,03A9,,
danda,uni0964,243,225,0964,,
dbldanda,uni0965,244,226,0965,,
candraBindu-oriya,uni0B01,245,227,0B01,,
anusvara-oriya,uni0B02,246,228,0B02,,
visarga-oriya,uni0B03,247,229,0B03,,
a-oriya,uni0B05,248,230,0B05,,
aa-oriya,uni0B06,249,231,0B06,,
i-oriya,uni0B07,250,232,0B07,,
ii-oriya,uni0B08,251,233,0B08,,
u-oriya,uni0B09,252,234,0B09,,
uu-oriya,uni0B0A,253,235,0B0A,,
rVocalic-oriya,uni0B0B,254,236,0B0B,,
lVocalic-oriya,uni0B0C,255,237,0B0C,,
e-oriya,uni0B0F,256,238,0B0F,,
ai-oriya,uni0B10,257,239,0B10,,
o-oriya,uni0B13,258,240,0B13,,
au-oriya,uni0B14,259,241,0B14,,
ka-oriya,uni0B15,260,242,0B15,,
kha-oriya,uni0B16,261,246,0B16,,
ga-oriya,uni0B17,262,250,0B17,,
gha-oriya,uni0B18,263,254,0B18,,
nga-oriya,uni0B19,264,258,0B19,,
ca-oriya,uni0B1A,265,262,0B1A,,
cha-oriya,uni0B1B,266,266,0B1B,,
ja-oriya,uni0B1C,267,270,0B1C,,
jha-oriya,uni0B1D,268,274,0B1D,,
nya-oriya,uni0B1E,269,278,0B1E,,
tta-oriya,uni0B1F,270,280,0B1F,,
ttha-oriya,uni0B20,271,284,0B20,,
dda-oriya,uni0B21,272,288,0B21,,
ddha-oriya,uni0B22,273,292,0B22,,
nna-oriya,uni0B23,274,296,0B23,,
ta-oriya,uni0B24,275,300,0B24,,
tha-oriya,uni0B25,276,304,0B25,,
da-oriya,uni0B26,277,308,0B26,,
dha-oriya,uni0B27,278,312,0B27,,
na-oriya,uni0B28,279,316,0B28,,
pa-oriya,uni0B2A,280,320,0B2A,,
pha-oriya,uni0B2B,281,324,0B2B,,
ba-oriya,uni0B2C,282,328,0B2C,,
bha-oriya,uni0B2D,283,332,0B2D,,
ma-oriya,uni0B2E,284,336,0B2E,,
ya-oriya,uni0B2F,285,340,0B2F,,
ra-oriya,uni0B30,286,344,0B30,,
la-oriya,uni0B32,287,348,0B32,,
lla-oriya,uni0B33,288,352,0B33,,
va-oriya,uni0B35,289,356,0B35,kui,"cv10=0,1"
sha-oriya,uni0B36,290,362,0B36,,
ssa-oriya,uni0B37,291,366,0B37,,
sa-oriya,uni0B38,292,370,0B38,,
ha-oriya,uni0B39,293,374,0B39,,
nukta-oriya,uni0B3C,294,378,0B3C,,
avagraha-oriya,uni0B3D,295,379,0B3D,,
aaMatra-oriya,uni0B3E,296,380,0B3E,,
iMatra-oriya,uni0B3F,297,381,0B3F,,
iiMatra-oriya,uni0B40,298,384,0B40,,
uMatra-oriya,uni0B41,299,385,0B41,,
uuMatra-oriya,uni0B42,300,386,0B42,,
rVocalicMatra-oriya,uni0B43,301,387,0B43,,
rrVocalicMatra-oriya,uni0B44,302,388,0B44,,
eMatra-oriya,uni0B47,303,389,0B47,,
aiMatra-oriya,uni0B48,304,390,0B48,,
oMatra-oriya,uni0B4B,305,391,0B4B,,
auMatra-oriya,uni0B4C,306,392,0B4C,,
halant-oriya,uni0B4D,307,393,0B4D,,
overline-oriya,uni0B55,308,394,0B55,,
aiLength-oriya,uni0B56,309,397,0B56,,
auLength-oriya,uni0B57,310,400,0B57,,
rra-oriya,uni0B5C,311,401,0B5C,,
rha-oriya,uni0B5D,312,403,0B5D,,
yya-oriya,uni0B5F,313,405,0B5F,,
rrVocalic-oriya,uni0B60,314,407,0B60,,
llVocalic-oriya,uni0B61,315,408,0B61,,
lVocalicMatra-oriya,uni0B62,316,409,0B62,,
llVocalicMatra-oriya,uni0B63,317,410,0B63,,
zero-oriya,uni0B66,318,411,0B66,,
one-oriya,uni0B67,319,412,0B67,,
two-oriya,uni0B68,320,413,0B68,,
three-oriya,uni0B69,321,414,0B69,,
four-oriya,uni0B6A,322,415,0B6A,,
five-oriya,uni0B6B,323,416,0B6B,,
six-oriya,uni0B6C,324,417,0B6C,,
seven-oriya,uni0B6D,325,418,0B6D,,
eight-oriya,uni0B6E,326,419,0B6E,,
nine-oriya,uni0B6F,327,420,0B6F,,
isshar-oriya,uni0B70,328,421,0B70,,
wa-oriya,uni0B71,329,422,0B71,,
onequarter-oriya,uni0B72,330,424,0B72,,
onehalf-oriya,uni0B73,331,425,0B73,,
threequarters-oriya,uni0B74,332,426,0B74,,
